ugc_id,created_user_id,ugc_name,description_text,tag_text
4623,12233,"Mother not involved at all!","I have two questions:
My mom has always talked about wanting to see at least one of her daughters married before she passes away. My other two sisters got married behind my parent's backs. Anyways, now that I am going to be married, she just doesn't seem to care. 
My Fiance's parent's are paying for 1/2 the wedding. So my question is should I include my parents in the wedding invitation? They are not helping at all, not even with calling relatives. 

Another question is:  
My mom has no style and will most likely wear jeans, a stained shirt, and a broach (no undergarments either..ew). I am very concerned about her being in my pictures! How can I hint at wearing nicer clothing without completely offending her? This is a really embarrasing matter!","Fun Stuff"
4640,37859,"getting remarried","my husband and I are having a second ceremony 5 years after we first got married. it was very small and no one was able to come. decided on our 5 year anniversary not that we are able to have a real wedding. would it be wrong to wear a wedding dress for the ceremony since it is kinda renew our vows?",Planning
4642,39914,"Hollywood themed wedding","I need help with ideas for a hollywood themed wedding. Does anyone know where I can get backdrops that have some inkling of Hollywood and/or twinkling stars on them? Also, what about affordable theatre ropes??? I'm having a hard time find some that are reasonable in price. ",Planning
4642,39914,"Hollywood themed wedding","I need help with ideas for a hollywood themed wedding. Does anyone know where I can get backdrops that have some inkling of Hollywood and/or twinkling stars on them? Also, what about affordable theatre ropes??? I'm having a hard time find some that are reasonable in price. ","Style and Decor"
4643,37859,"ceremony and reception","we are having a western themed wedding and i have no clue as to what i am doing. I am planning this pretty much by myself with little help. out colors are blue, white and yellow. it will be at the end of march and its coming up quick. i have no clue as to what happens during the ceremony nor reception. never been to a wedding. i have my invitations printed and ready to go have my flowers picked out have our venue reserved and paid for. we are still trying to find an officiant, which i figure will help out with what all happens when during the ceremony. please help ",Planning
4675,35429,"Is it possible to plan a wedding for 150-200 guests in a little less then 6 months?","I don't have the money for a wedding planner and heard that most are flaky anyways and my fiance works alot and I also work full time and will be taking a couple classes this semester. Is it possible to get everything done. It's either now or I wait another year and a half! Any advice?","Fun Stuff"
4675,35429,"Is it possible to plan a wedding for 150-200 guests in a little less then 6 months?","I don't have the money for a wedding planner and heard that most are flaky anyways and my fiance works alot and I also work full time and will be taking a couple classes this semester. Is it possible to get everything done. It's either now or I wait another year and a half! Any advice?",Planning
4675,35429,"Is it possible to plan a wedding for 150-200 guests in a little less then 6 months?","I don't have the money for a wedding planner and heard that most are flaky anyways and my fiance works alot and I also work full time and will be taking a couple classes this semester. Is it possible to get everything done. It's either now or I wait another year and a half! Any advice?","Style and Decor"
4680,32944,"Does anyone have a great caterer for the Houston Texas Area?","I am looking to feed about 30 guest at my home after our wedding and would like suggestions for a great caterer in the Houston Texas area. I would like the caterer to cookthe meal, serve our guest and clean up afterwards.",Planning
4685,34747,"Blue, Latte, Champagne","I'm having a bit of trouble picking my wedding colors.  The colors in my title are the ones I want but I've never seen them together.  I'm thinking about visiting Hobby Lobby and looking at flowers to see if the color scheme looks good.  My dress is champagne and my fiance' will be wearing a champagne tux.  ( I like black though, but disregard that).  In addition, my fiance's favorite color is blue. I'm not fund of the Tiffany blue though.  I was thinking a royal blue, or antique blue, perhaps Navy.  The only reason why I'm using Latte is for the groomsmen tux and the Maid of Honor. I cant have them walking down the isle in black. I would probably add the blue to the guys hankerchief and vests.  I dont want the dark brown, just a lighter version since I'll go with the royal or antique blue.  Please, please respond.","Beauty and Attire"
4685,34747,"Blue, Latte, Champagne","I'm having a bit of trouble picking my wedding colors.  The colors in my title are the ones I want but I've never seen them together.  I'm thinking about visiting Hobby Lobby and looking at flowers to see if the color scheme looks good.  My dress is champagne and my fiance' will be wearing a champagne tux.  ( I like black though, but disregard that).  In addition, my fiance's favorite color is blue. I'm not fund of the Tiffany blue though.  I was thinking a royal blue, or antique blue, perhaps Navy.  The only reason why I'm using Latte is for the groomsmen tux and the Maid of Honor. I cant have them walking down the isle in black. I would probably add the blue to the guys hankerchief and vests.  I dont want the dark brown, just a lighter version since I'll go with the royal or antique blue.  Please, please respond.","Style and Decor"
4687,40240,"New Wedding TV Show","Hello all,

I am the Associate Producer for a new TV series called Jumping the Broom. The program will feature African American couples and the experiences they have as they plan for their BIG DAY. 

It will be positive, informative and entertaining. Each show will explain different traditions specific to African American weddings and explore new ideas couples create to make their day special.

We are casting African American couples getting married in  January, February or March of 2008 for this new docuseries. If you are interested or know someone who might be please get in touch with me at mwatkins@amspg.com.

Best,
Monika","Etiquette and Advice"
4687,40240,"New Wedding TV Show","Hello all,

I am the Associate Producer for a new TV series called Jumping the Broom. The program will feature African American couples and the experiences they have as they plan for their BIG DAY. 

It will be positive, informative and entertaining. Each show will explain different traditions specific to African American weddings and explore new ideas couples create to make their day special.

We are casting African American couples getting married in  January, February or March of 2008 for this new docuseries. If you are interested or know someone who might be please get in touch with me at mwatkins@amspg.com.

Best,
Monika",Planning
4713,37778,"Ice Sculpyures","So one of my visions for my wedding is to have a signature drink like a martini or a margarita and have it pourn down an ice sculpture louge....Now I am on a mission to get the best price for a Ice Louge in Milwaukee so if anyone knows of any please let me know","Fun Stuff"
4713,37778,"Ice Sculpyures","So one of my visions for my wedding is to have a signature drink like a martini or a margarita and have it pourn down an ice sculpture louge....Now I am on a mission to get the best price for a Ice Louge in Milwaukee so if anyone knows of any please let me know",Planning
4714,37778,"Different Religions","So Im baptist and my fiance is Catholic, we were just planning on have one ceremony, outdoors so its not in any one church but his grandparents just told him that if he is not married in a Catholic church that he cant have a catholic furneral and he will be removed from the church. He told me that it didnt matter to him but I dont think he (nor his grandparents) would have brought it up if it didnt mean anything to him, but I am thinking of suggesting that we have two ceremonies so that is religion is kept in tack...I think it would be a nice gesture to his grandparent, what are some thoughts? ","Fun Stuff"
4714,37778,"Different Religions","So Im baptist and my fiance is Catholic, we were just planning on have one ceremony, outdoors so its not in any one church but his grandparents just told him that if he is not married in a Catholic church that he cant have a catholic furneral and he will be removed from the church. He told me that it didnt matter to him but I dont think he (nor his grandparents) would have brought it up if it didnt mean anything to him, but I am thinking of suggesting that we have two ceremonies so that is religion is kept in tack...I think it would be a nice gesture to his grandparent, what are some thoughts? ",Planning
4723,16155,"Suggestions on Photographers in the Baltimore Metro Area?","I am getting married in Baltimore City, MD next fall and am in the process of looking for a photographer.  I have checked out many photographer's websites but I just can't seem to make a decision.  Does anyone have a photographer that they used that they either loved (or hated)?  I am particularly looking for a pair of photographers that work together and will cover upwards of 8 hours, but I will take any suggestions!

Thanks in advance for your help :) ",Planning
4724,40622,"Has anyone made a map for their guests?","I tried to make one on YAHOO! but it's not coming out the way I want.  A friend suggested wedding mapper.  Has anyone tried it?",Honeymoon
4724,40622,"Has anyone made a map for their guests?","I tried to make one on YAHOO! but it's not coming out the way I want.  A friend suggested wedding mapper.  Has anyone tried it?",Planning
4725,40628,"Gap of time between ceremony and reception?!?","Hello,
It seems as though our church ceremony will go from about 2 until 3,3:30 and the earliest we will be able to start the reception is 6 pm. Is it ok to have a gap of 2.5 hours? or do we need to find something for the guests to do in between. Travel from the church to the reception should only take 30 minutes max. Any ideas would be great! Thank you so much!","Etiquette and Advice"
4725,40628,"Gap of time between ceremony and reception?!?","Hello,
It seems as though our church ceremony will go from about 2 until 3,3:30 and the earliest we will be able to start the reception is 6 pm. Is it ok to have a gap of 2.5 hours? or do we need to find something for the guests to do in between. Travel from the church to the reception should only take 30 minutes max. Any ideas would be great! Thank you so much!",Planning
4730,21232,"To Children, or Not To Children","I keep being told that I should ask for ""no children"" or ""adult ceremony/reception"" for my wedding. That children will be crying and spoil the event.  My fiance and I don't have children, but we don't mind them coming. Is children that bad for weddings?","Etiquette and Advice"
4730,21232,"To Children, or Not To Children","I keep being told that I should ask for ""no children"" or ""adult ceremony/reception"" for my wedding. That children will be crying and spoil the event.  My fiance and I don't have children, but we don't mind them coming. Is children that bad for weddings?","Newlyweds and Parenting"
4730,21232,"To Children, or Not To Children","I keep being told that I should ask for ""no children"" or ""adult ceremony/reception"" for my wedding. That children will be crying and spoil the event.  My fiance and I don't have children, but we don't mind them coming. Is children that bad for weddings?",Planning
4731,40672,"When  to start buying stuff","We are getting married in about 11 months in Montego Bay, Jamaica. I have the ceremony and reception mapped out.  The invitations are out.  When should I get the flight tickets as well as the dress?",Honeymoon
4731,40672,"When  to start buying stuff","We are getting married in about 11 months in Montego Bay, Jamaica. I have the ceremony and reception mapped out.  The invitations are out.  When should I get the flight tickets as well as the dress?",Planning
4734,12233,"The Garter Toss","Hello everyone! =)  
Just wondering if anyone can think, or have heard, of alternatives to the garter toss. I get embarassed easily, lol. Thank you in advance!","Etiquette and Advice"
4734,12233,"The Garter Toss","Hello everyone! =)  
Just wondering if anyone can think, or have heard, of alternatives to the garter toss. I get embarassed easily, lol. Thank you in advance!","Fun Stuff"
4734,12233,"The Garter Toss","Hello everyone! =)  
Just wondering if anyone can think, or have heard, of alternatives to the garter toss. I get embarassed easily, lol. Thank you in advance!",Planning
4735,12233,"To tip, or not to tip?","Does every vendor expect a tip? Examples would be the officiate, the dj, the photographer, waiters, ect.? Our cake is included in our wedding package, so would we also need to tip the decorater? If so, how much do you tip if you do not know the cost? It is just a simple cake, no fondant and such. Thank you everyone!  ","Fun Stuff"
4735,12233,"To tip, or not to tip?","Does every vendor expect a tip? Examples would be the officiate, the dj, the photographer, waiters, ect.? Our cake is included in our wedding package, so would we also need to tip the decorater? If so, how much do you tip if you do not know the cost? It is just a simple cake, no fondant and such. Thank you everyone!  ",Planning
4738,40066,"how do i tell my parents?","i am 18 and my fiance is 20 we have been dating for about 2 years and we are planning on getting married by june 17. i have bought my dress and we already have bought the rings i already have it planned except for one small detail telling my dad mainly my parents are divorced and i know my mom wont be upset but i know my dad will flip so how do i tell him without pushing him over the edge and losing his blessing?","Fun Stuff"
4738,40066,"how do i tell my parents?","i am 18 and my fiance is 20 we have been dating for about 2 years and we are planning on getting married by june 17. i have bought my dress and we already have bought the rings i already have it planned except for one small detail telling my dad mainly my parents are divorced and i know my mom wont be upset but i know my dad will flip so how do i tell him without pushing him over the edge and losing his blessing?","Newlyweds and Parenting"
4738,40066,"how do i tell my parents?","i am 18 and my fiance is 20 we have been dating for about 2 years and we are planning on getting married by june 17. i have bought my dress and we already have bought the rings i already have it planned except for one small detail telling my dad mainly my parents are divorced and i know my mom wont be upset but i know my dad will flip so how do i tell him without pushing him over the edge and losing his blessing?",Planning
4744,26876,"6 mo. Anniversary...","I have heard of some people celebrating their 6mo. wedding anniversary. Is that common? What ideas come mind assuming your going to go all out for your 1yr. anniversary? Mines approaching in 2days, so just wanted to get some opinions about it.","Newlyweds and Parenting"
4756,40899,"Travel theme wedding","We are doing a travel theme, colors are red, orange and white, very bright and bold colors around a pool and beautiful green lawn.  In addition to our theme I am trying to make this a romantic, swanky set-up, with lots of candles, red couches to create a lounge area.  I am naming the tables after location we love, such as Rome, Paris, Napa, Hawaii, etc... with a picture of us at that locale.  I will have suitcases with old travel stickers and dressed up with flowers and greenery.  I am coordinating each centerpiece with it's table name (Rome will have a roman pillar, Napa will have a huge wine glass with grapes).  I could use any other input, suggestions, ideas from you gals.  I am stuck on the vegas table centerpiece, guest favors (maybe luggage tags?), and anything else that could make this a big fun party and not your average wedding?  Oh yeah, also looking for a tropical honeymoon, a little less expensive than Tahiti but similar and safe around September?",Honeymoon
4756,40899,"Travel theme wedding","We are doing a travel theme, colors are red, orange and white, very bright and bold colors around a pool and beautiful green lawn.  In addition to our theme I am trying to make this a romantic, swanky set-up, with lots of candles, red couches to create a lounge area.  I am naming the tables after location we love, such as Rome, Paris, Napa, Hawaii, etc... with a picture of us at that locale.  I will have suitcases with old travel stickers and dressed up with flowers and greenery.  I am coordinating each centerpiece with it's table name (Rome will have a roman pillar, Napa will have a huge wine glass with grapes).  I could use any other input, suggestions, ideas from you gals.  I am stuck on the vegas table centerpiece, guest favors (maybe luggage tags?), and anything else that could make this a big fun party and not your average wedding?  Oh yeah, also looking for a tropical honeymoon, a little less expensive than Tahiti but similar and safe around September?",Planning
4756,40899,"Travel theme wedding","We are doing a travel theme, colors are red, orange and white, very bright and bold colors around a pool and beautiful green lawn.  In addition to our theme I am trying to make this a romantic, swanky set-up, with lots of candles, red couches to create a lounge area.  I am naming the tables after location we love, such as Rome, Paris, Napa, Hawaii, etc... with a picture of us at that locale.  I will have suitcases with old travel stickers and dressed up with flowers and greenery.  I am coordinating each centerpiece with it's table name (Rome will have a roman pillar, Napa will have a huge wine glass with grapes).  I could use any other input, suggestions, ideas from you gals.  I am stuck on the vegas table centerpiece, guest favors (maybe luggage tags?), and anything else that could make this a big fun party and not your average wedding?  Oh yeah, also looking for a tropical honeymoon, a little less expensive than Tahiti but similar and safe around September?","Style and Decor"
4759,40916,"Mexico Venues","We are newly engaged and researching possible venues in Mexico.  We are interested in a place on the gulf side, possibly the Mayan Riviera.  Any recommendations on specific all-inclusive resorts?",Honeymoon
4760,40955,"I'm looking for a wedding party dance song","I am trying to find a song for the wedding party dance.  I am looking for something that is not a one on one dance, but a song that the whole wedding party can dance together to.  Any suggestions?",Planning
4765,39902,"My third marriage and his first","This will be my third marriage and my fiance's first. Is there some sort of proper ettiquette for the wedding? We are having a very small ceremony and no big flair, but I don't want to be tacky about anything.  Any suggestions?","Etiquette and Advice"
4766,40628,"Has anyone used an internet flower company?","Hello!
Just curious if anyone has used an internet flower provider like Proflowers.com for their wedding flowers. The packages they show seem to be quite reasonable and the reviews online are ok but I am interested in talking to someone who has had a real experience with them. Any input would be great! Thanks!",Planning
4766,40628,"Has anyone used an internet flower company?","Hello!
Just curious if anyone has used an internet flower provider like Proflowers.com for their wedding flowers. The packages they show seem to be quite reasonable and the reviews online are ok but I am interested in talking to someone who has had a real experience with them. Any input would be great! Thanks!","Style and Decor"
4767,41101,Help,"I'm knew at this what is the website address i give people to look at my page?","Fun Stuff"
4768,41151,"Fine hair - help!","I have long, fine hair and will be getting married in Houston in August.  I thought I'd like to wear my hair down, but this seems ridiculous given the time of year and concurrent heat wave.

What is a good style for long, fine hair?  Mine falls flat quickly.","Beauty and Attire"
4773,24315,"Does anyone know any good halls in Sun City California or in that area??","Hi Everyone!
My wedding has been changed yet again..haha but I am wondering if someone could give me some good looks to any halls or anything like that in Sun City Cali. or anywhere in that area? Thanks so much.

-Lora",Honeymoon
4773,24315,"Does anyone know any good halls in Sun City California or in that area??","Hi Everyone!
My wedding has been changed yet again..haha but I am wondering if someone could give me some good looks to any halls or anything like that in Sun City Cali. or anywhere in that area? Thanks so much.

-Lora",Planning
4786,41544,"Does anybody have ideas to decorate a hall with candy apple, black, white that is affordable??","Our wedding is approaching fast and I need alot of ideas ASAP.. so please Help..",Planning
4792,23416,"Where to rent Tuxedo's in Northern VA area","I'm in the Alexandria area  and I'm looking for recommendations of a good place to rent tuxedo's. If you have any places to stay away from, I'll take those warnings too. Thanks!","Beauty and Attire"
4792,23416,"Where to rent Tuxedo's in Northern VA area","I'm in the Alexandria area  and I'm looking for recommendations of a good place to rent tuxedo's. If you have any places to stay away from, I'll take those warnings too. Thanks!","Fun Stuff"
4792,23416,"Where to rent Tuxedo's in Northern VA area","I'm in the Alexandria area  and I'm looking for recommendations of a good place to rent tuxedo's. If you have any places to stay away from, I'll take those warnings too. Thanks!",Planning
4796,41761,"My future husband wants to use concert ticket invitations for our wedding invitations...","I have seen them in brides magazines.  I think they are neat, and agreed to use them... but now I am afraid there will not be enough room for all the information i.e location/church/reception/times/date/map.  Has anyone used this kind of invitation for a wedding?",Planning
4798,21053,"Name change for passport","OK friends? I am sure there are others out there with the same questions. I am going to hyphenate my name ? my last name first ? then his. We are getting married in May ? my passport expires in March. If I renew it now ? it has my maiden name on it ? so I will still have to renew it again for honeymoon ? and/or right after for name change. Can I change my name now ? before the wedding? Can I keep my passport with maiden name always?  Does anyone know the protocol for this?

Thanks!","Fun Stuff"
4798,21053,"Name change for passport","OK friends? I am sure there are others out there with the same questions. I am going to hyphenate my name ? my last name first ? then his. We are getting married in May ? my passport expires in March. If I renew it now ? it has my maiden name on it ? so I will still have to renew it again for honeymoon ? and/or right after for name change. Can I change my name now ? before the wedding? Can I keep my passport with maiden name always?  Does anyone know the protocol for this?

Thanks!",Honeymoon
4798,21053,"Name change for passport","OK friends? I am sure there are others out there with the same questions. I am going to hyphenate my name ? my last name first ? then his. We are getting married in May ? my passport expires in March. If I renew it now ? it has my maiden name on it ? so I will still have to renew it again for honeymoon ? and/or right after for name change. Can I change my name now ? before the wedding? Can I keep my passport with maiden name always?  Does anyone know the protocol for this?

Thanks!","Newlyweds and Parenting"
4802,41806,"is it ok to wear the same wedding dress twice","i was married once before a long time ago...and very very briefly.  it was a destination wedding and noone really saw my gown.  It's breathtaking, but I thought maybe I'd tweak it a bit to make it new again.  Is that a bad thing to do?  It's economical..","Beauty and Attire"
4802,41806,"is it ok to wear the same wedding dress twice","i was married once before a long time ago...and very very briefly.  it was a destination wedding and noone really saw my gown.  It's breathtaking, but I thought maybe I'd tweak it a bit to make it new again.  Is that a bad thing to do?  It's economical..","Fun Stuff"
4802,41806,"is it ok to wear the same wedding dress twice","i was married once before a long time ago...and very very briefly.  it was a destination wedding and noone really saw my gown.  It's breathtaking, but I thought maybe I'd tweak it a bit to make it new again.  Is that a bad thing to do?  It's economical..","Style and Decor"
4811,41870,"Me and my fiance have 6 kids in total.","I have 3 daughters from a previous marriage, ages 15, 8, and 2.5. He has 2 daughters ages 18 and 15 and a son 4 years old.  I definately want my 15 year old daughter as a bridesmaid and my 2 other daughters as flower girls. His son will be the ring barrer.  What should I do about his other two daughters? Are they too old to be flower girls.  I want to avoid having too many young bridesmaids.",Planning
4813,41871,"I am not happy with my maid of honor....what should I do???","I chose my fiance's sister. I chose her because I thought she would be most appropriate since I don't have a sister or any close female relatives nearby.  I am so mad at myself for choosing her because she shows no interest in my wedding, my dress or anything.  She has not offered to help my mother with the shower and neither has his mother.  My mother is trying to do that all on her own.  She is the worst possible choice for me.  We are not close and I don't really like her. I think she is self centered.  Maybe it is because she is very busy with her job and lives 2 hours away but I would think she would at least call me once in a while and check in and see how I am doing with the wedding planning.  I have one other bridesmaid and a koumbara which is what we do in a greek wedding  Would it be wrong to fire my future sister-in-law out of the spot and make her a bridesmaid? I feel no love or caring from her. But I don't want to start out on wrong foot with his family. Help What do I do?",Planning
4829,41618,"Any ideas of weddings in New Orleans???","I have been looking for a special place to say I do! Me and my fiance have been together for 9 years and everyday we fall more in love..it is amazing!!! I need some help though...I am not looking to spend every penny we have, but we would like a nice wedding...He keeps preasuring me to find a place to get married, can someone please help me!",Planning
4834,42050,"Wedding Venues????","I am having the hardest time finding a wedding venue and a reception hall. I live in a small town and all of my family is out of state. I want somewhere that is close and not to difficult to get to. any ideas? ",Planning
4840,10606,"Landscaper Recommendation in DC area??","my fiance and I just bought a house!!!  it needs a little work, and we're psyched for the DIY stuff indoors, but does anyone in the Washington DC area have any recommendations for landscapers?  any tips you can offer would be great!!!","Fun Stuff"
4840,10606,"Landscaper Recommendation in DC area??","my fiance and I just bought a house!!!  it needs a little work, and we're psyched for the DIY stuff indoors, but does anyone in the Washington DC area have any recommendations for landscapers?  any tips you can offer would be great!!!","Newlyweds and Parenting"
4841,35247,"Tom Gavin's DJ Delights","I wanted to see if anyone has used Tom Gavin's DJ Delights, and if they are any good. I received a packet from them and I really like what they had to offer, and a great price. If you have any input please feel free to speak up.","Fun Stuff"
4844,42172,"Complicated question about groom's family at the ceremony...","My fiance's parents passed away in an accident almost two years ago. He has 3 older sisters and has been in 3 of their weddings (the 3rd is unmarried) and though I love them dearly, I want my wedding attendants to be personal friends of mine. Do I have to have them in my wedding party or could anyone suggest something I could do to incorporate them into the ceremony some other way? Thanks!","Etiquette and Advice"
4848,21205,"difficulty with colors...again","My original colors were apple red, ivory or champagne and chocolate (and maybe pink if needed). i added another bridesmaid, but she doesnt look right wearing the same dress as the other 2 bridesmaids (the 2 bridesmaids had mix and match seperatse by davids bridal and she's plus size).  So then we also decided that the everyone should have a different dress. so i thought about changing the color of my MOH dress because I believe the MOH should stand out a little, but she has very very fair skin and I dont know how champagne would go with her skin tone and I havent found any chocolate dresses that would fit her body type...any suggestions?","Beauty and Attire"
4848,21205,"difficulty with colors...again","My original colors were apple red, ivory or champagne and chocolate (and maybe pink if needed). i added another bridesmaid, but she doesnt look right wearing the same dress as the other 2 bridesmaids (the 2 bridesmaids had mix and match seperatse by davids bridal and she's plus size).  So then we also decided that the everyone should have a different dress. so i thought about changing the color of my MOH dress because I believe the MOH should stand out a little, but she has very very fair skin and I dont know how champagne would go with her skin tone and I havent found any chocolate dresses that would fit her body type...any suggestions?","Fun Stuff"
4848,21205,"difficulty with colors...again","My original colors were apple red, ivory or champagne and chocolate (and maybe pink if needed). i added another bridesmaid, but she doesnt look right wearing the same dress as the other 2 bridesmaids (the 2 bridesmaids had mix and match seperatse by davids bridal and she's plus size).  So then we also decided that the everyone should have a different dress. so i thought about changing the color of my MOH dress because I believe the MOH should stand out a little, but she has very very fair skin and I dont know how champagne would go with her skin tone and I havent found any chocolate dresses that would fit her body type...any suggestions?","Style and Decor"
